altitude_m,temperature_C,pressure_hPa
37891.52734375,-31.093917846679688,3.427015781402588
39008.78125,-28.412811279296875,2.9298017024993896
40186.765625,-26.279571533203125,2.4875426292419434
41427.40625,-24.632949829101562,2.0965375900268555
42732.6171875,-23.576004028320312,1.7530899047851562
44104.26171875,-23.047531127929688,1.4535245895385742
45544.8671875,-22.894012451171875,1.1942062377929688
47060.3828125,-22.164764404296875,0.971558153629303
48667.37890625,-18.633193969726562,0.7820823192596436
50386.54296875,-14.102935791015625,0.6223801970481873
52215.453125,-14.31219482421875,0.4891735017299652
54132.16796875,-18.309356689453125,0.3793247640132904
56121.5,-24.194747924804688,0.2898571491241455
58180.36328125,-30.202301025390625,0.2179732471704483
60313.23046875,-36.23728942871094,0.16107177734375
62524.01171875,-42.62388610839844,0.1167619526386261
