altitude_m,temperature_C,pressure_hPa
18398.259765625,-61.81275939941406,75.19988250732422
18743.166015625,-61.982177734375,71.11869812011719
19094.873046875,-60.8076171875,67.19408416748047
19455.548828125,-59.57554626464844,63.415103912353516
19825.240234375,-59.6141357421875,59.7720947265625
20204.44140625,-59.07569885253906,56.25667953491211
20594.791015625,-58.22956848144531,52.86442947387695
20997.201171875,-57.197845458984375,49.5952262878418
21412.6796875,-55.68388366699219,46.449832916259766
21840.890625,-55.41278076171875,43.428741455078125
22280.384765625,-55.71299743652344,40.532108306884766
22732.171875,-54.747894287109375,37.759796142578125
23197.0546875,-54.67498779296875,35.111061096191406
23675.59765625,-53.69407653808594,32.584312438964844
24170.166015625,-52.086944580078125,30.177553176879883
24682.326171875,-50.430816650390625,27.88869857788086
25212.078125,-49.571197509765625,25.715593338012695
25759.521484375,-48.54866027832031,23.6560115814209
26325.404296875,-47.814361572265625,21.707639694213867
26910.009765625,-47.30189514160156,19.86807632446289
27514.955078125,-46.0816650390625,18.134841918945312
28142.017578125,-45.0684814453125,16.505359649658203
28791.81640625,-44.258697509765625,14.976964950561523
29465.30859375,-43.443389892578125,13.546902656555176
30163.375,-42.92738342285156,12.212320327758789
30887.638671875,-41.958282470703125,10.970274925231934
31641.9140625,-40.01652526855469,9.817730903625488
32428.9609375,-38.48863220214844,8.751564025878906
33249.62109375,-37.21208190917969,7.768559455871582
34106.92578125,-35.14813232421875,6.865420341491699
35004.765625,-33.04542541503906,6.038766860961914
35947.8359375,-29.919464111328125,5.285147666931152
36942.546875,-26.15435791015625,4.601042747497559
37993.2109375,-22.6990966796875,3.9828743934631348
39102.20703125,-19.656097412109375,3.427015781402588
40272.11328125,-16.912139892578125,2.9298017024993896
41503.8359375,-15.36737060546875,2.4875426292419434
42795.21484375,-15.319366455078125,2.0965375900268555
44148.6953125,-14.474212646484375,1.7530899047851562
45573.03125,-12.93060302734375,1.4535245895385742
47074.76953125,-11.753173828125,1.1942062377929688
48652.34375,-12.828948974609375,0.971558153629303
50301.94140625,-14.7274169921875,0.7820823192596436
52025.57421875,-16.88201904296875,0.6223801970481873
53819.92578125,-21.464767456054688,0.4891735017299652
55677.51953125,-27.062896728515625,0.3793247640132904
57598.8359375,-32.663360595703125,0.2898571491241455
59582.53515625,-39.74632263183594,0.2179732471704483
61620.4765625,-48.170318603515625,0.16107177734375
63709.01171875,-56.659698486328125,0.1167619526386261
65860.4296875,-63.049713134765625,0.08287471532821655
68100.96875,-67.41770935058594,0.057470306754112244
70453.984375,-71.15754699707031,0.038841623812913895
72929.40625,-75.79747009277344,0.025513028725981712
77155.328125,-81.08833312988281,0.01500182505697012
